CITY,ADDRESS OF PROJECT TO MAP,LOCATION OF PROJECT,"DESCRIPTION (sidewalk, bike lane, length, etc)",CODE FOR COLOR,YEAR COMPLETED,TOTAL COST (where available),"FUNDING SOURCES? (where available, list grant name + year(s) awarded + amount)",PROJECT AGENCY OR INVOLVED GROUPS (where available),"RELEVANT LINKS, FACT SHEETS",,,,,,,,,,,,,,,,,
Williston,"173-157 Blair Park Rd, Williston, VT 05495",Blair Park Road,"New sidewalk, creating a loop that connects senior housing with post office & bus stop on Rt 2",1,2021,,BP 2017,Town of Williston,,,,,,,,,,,,,,,,,,
Williston,,Holland Lane from Kettlepond Lane to Williston Rd; Market Street from Holland Lane to Zephyr Rd; Stillwater Lane from Holland Lane to Zephyr Rd; Maple Tree Place Rd east to end of Cottonwood Crossing development; along south side of Williston Rd from MD Motors to U Haul.,New sidewalks,,Since 2019,,Developer funded and built,"VTrans for sidewalks on State highways, private developers, Town of Williston Department of Public Works, Planning and Zoning, Development Review Board",,,,,,,,,,,,,,,,,,
Williston,"35 Industrial Ave, Williston, VT 05495",Intersection Rt 2 & Industrial Ave,"Intersection reconstruction, inc new sidewalk and curb on south side of ",1,2023,,,,https://vtrans.vermont.gov/projects/williston-intersection,,,,,,,,,,,,,,,,,
St. Albans City,"40 Kingman St., St Albans City, VT 05478",Kingman St,"Expanded sidewalk areas, enhanced crosswalks & ADA features. Fourth & final phase of a 10-yr downtown revitalization effort ",1,2022,,,City of St. Albans,https://www.stalbansvt.com/streetscape,,,,,,,,,,,,,,,,,
Hyde Park-Morrisville-Elmore,"344 VT-15, Hyde Park, VT 05655",Hyde Park-Morrisville-Elmore region,"The Hymor microtransit rideshare service allowing residents to schedule rides. Operated by Rural Community Transportation, supported by VTrans grant",4,2023,,,Rural Community Transportation,https://www.riderct.org/rct-microtransit,,,,,,,,,,,,,,,,,
Stowe,"137 Main St, Stowe, VT 05672",Main St/ Rt 100,Sidewalk improvement,1,2019,,,,,,,,,,,,,,,,,,,,,
Newport,"386 Prouty Beach Rd, Newport, VT 05855",Bluffside Farm ,"1-mile ADA rec path, inc bridge crossing Scott's Cove. The trail helps connects downtown Newport with North Country Hospital, via pre-existing trails. After this connection opened, North Country Hospital became first VT hospital to be recognized as a ""Bike Friendly Businesss."" ",2,2021,$1.4 million,Many federal and state funding sources alongside local and community support,,https://bikeleague.org/wp-content/uploads/2024/05/BFB_Full_List_through_Spring-2024-1.pdf,https://livablemap.aarp.org/challenge-grantee/city-newport-2019,,,,,,,,,,,,,,,,
Newport/Derby,,,Converting fixed route bus from Newport to Derby Line to an on-demand micro transit service,,2024,,,Rural Community Transportation,https://www.riderct.org/rctrides/,,,,,,,,,,,,,,,,,
Greensboro,"29 East St, Greensboro, VT 05841",East St,Sidewalk,1,2021,,BP 2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon,"11 Center St, Brandon, VT 05733",US 7/Center St,New and improved sidewalks/pedestrian features as part of US Rt 7 upgrade,1,2019,,,,,,,,,,,,,,,,,,,,,
Brandon,"48 Park St, Brandon, VT 05733",Park Street (VT Route 73),"Bike lanes added to both sides of st, as part of $1.7M upgrade inc stormwater, bioswales, wastewater, water, road & curb replacement",2,2020,one component in $1.7m project,,"Town of Brandon, Brandon Fire District No. 1, VTrans, Clean Water SRF, Drinking Water SRF",,,,,,,,,,,,,,,,,,
Brandon,"4 Franklin St, Brandon, VT 05733","Brandon Free Library, 4 Franklin St",2 eBikes for lending by Library & 10 bike racks around Town,4,2023,"$5,380",Town of Brandon budget; Vermont Council on Rural Development,Town of Brandon; Town of Brandon Energy Committee,https://brandonpubliclibrary.org/,,,,,,,,,,,,,,,,,
